wealth,health,cev_baseline,alpha_baseline,cev_group_pricing,alpha_group_pricing,cev_real_annuity,alpha_real_annuity,cev_best_feasible,alpha_best_feasible
50000,Good,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50000,Fair,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50000,Poor,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100000,Good,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100000,Fair,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100000,Poor,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200000,Good,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0147,0.5000
200000,Fair,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.3500
200000,Poor,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.2300
500000,Good,0.0024,0.2000,0.0075,0.2700,0.0042,0.2000,0.0443,0.6000
500000,Fair,0.0007,0.1400,0.0049,0.2000,0.0021,0.1400,0.0364,0.4700
500000,Poor,0.0000,0.0000,0.0004,0.1400,0.0000,0.0000,0.0251,0.4700
1000000,Good,0.0086,0.1900,0.0153,0.3000,0.0107,0.1900,0.0552,0.5600
1000000,Fair,0.0059,0.1900,0.0112,0.2300,0.0077,0.1900,0.0459,0.4600
1000000,Poor,0.0014,0.1100,0.0050,0.1800,0.0029,0.1100,0.0328,0.3000
