hazard_poor,inflation,mwr,implied_gamma,converged,n_iter
3.4488,0.0169,0.8628,2.4058,true,11
2.1875,0.0118,0.8705,2.2349,true,11
2.7418,0.0144,0.8085,2.4604,true,11
3.3791,0.0218,0.8147,2.5630,true,11
2.1936,0.0255,0.8186,2.4331,true,11
3.2703,0.0210,0.8867,2.3511,true,11
2.9693,0.0284,0.8706,2.3989,true,11
2.1317,0.0103,0.8350,2.2896,true,11
2.3127,0.0290,0.8645,2.3442,true,11
2.6585,0.0226,0.8776,2.3237,true,11
2.6496,0.0271,0.7901,2.6040,true,11
2.0684,0.0297,0.8503,2.3511,true,11
3.0965,0.0288,0.7590,2.8569,true,11
2.9079,0.0256,0.7526,2.8022,true,11
3.1736,0.0178,0.8305,2.4673,true,11
2.9568,0.0230,0.7515,2.7817,true,11
3.0907,0.0258,0.8596,2.4331,true,11
2.8437,0.0267,0.8581,2.4126,true,11
2.9657,0.0177,0.7574,2.6792,true,11
3.0013,0.0270,0.8772,2.3784,true,11
2.5171,0.0104,0.7950,2.4331,true,11
2.7893,0.0190,0.7733,2.6040,true,11
2.6954,0.0256,0.8375,2.4468,true,11
2.5642,0.0172,0.7808,2.5356,true,11
2.9266,0.0213,0.8484,2.4194,true,11
2.9906,0.0179,0.8191,2.4810,true,11
2.8031,0.0129,0.8792,2.2896,true,11
3.0925,0.0116,0.8133,2.4604,true,11
2.4492,0.0203,0.7967,2.4946,true,11
3.4566,0.0240,0.8275,2.5493,true,11
2.7424,0.0123,0.7854,2.5015,true,11
3.3822,0.0288,0.7640,2.8706,true,11
3.1184,0.0146,0.7951,2.5356,true,11
3.1975,0.0192,0.7850,2.6177,true,11
2.5684,0.0194,0.8047,2.4810,true,11
2.7671,0.0107,0.8313,2.3784,true,11
2.4093,0.0234,0.7821,2.5630,true,11
3.1667,0.0177,0.7751,2.6382,true,11
2.5952,0.0173,0.8130,2.4468,true,11
2.0478,0.0235,0.7802,2.5151,true,11
2.1220,0.0282,0.8182,2.4399,true,11
3.0368,0.0188,0.8202,2.4878,true,11
2.9066,0.0167,0.8421,2.3989,true,11
3.3965,0.0186,0.8771,2.3784,true,11
2.3440,0.0251,0.8770,2.2964,true,11
2.9905,0.0180,0.8460,2.4058,true,11
2.2941,0.0137,0.7503,2.5562,true,11
3.0820,0.0259,0.7594,2.7954,true,11
2.8746,0.0187,0.8008,2.5288,true,11
3.1936,0.0278,0.8483,2.4878,true,11
3.1774,0.0176,0.8859,2.3306,true,11
2.7113,0.0199,0.7646,2.6382,true,11
