gamma,hazard_poor,inflation,mwr,pessimism,delta_c,ownership_pct
2.5,3.1901,0.0243,0.8782,0.9983,0.0143,36.47
2.5,3.4982,0.0176,0.8749,0.9825,0.0200,27.97
2.5,2.3344,0.0199,0.8360,0.9993,0.0270,31.97
2.5,3.0771,0.0225,0.8454,0.9938,0.0287,23.23
2.5,2.6479,0.0191,0.8857,0.9898,0.0146,39.14
2.5,2.4662,0.0211,0.8714,0.9795,0.0223,29.62
2.5,2.9879,0.0222,0.8769,0.9801,0.0236,26.56
2.5,2.4532,0.0219,0.8951,0.9842,0.0248,34.89
2.5,3.1386,0.0177,0.8466,0.9980,0.0188,31.76
2.5,2.2619,0.0201,0.8862,0.9964,0.0154,44.52
2.5,2.4508,0.0205,0.8722,0.9966,0.0253,36.61
2.5,2.1658,0.0230,0.8561,0.9748,0.0294,23.47
2.5,2.6566,0.0164,0.8460,0.9731,0.0135,26.56
2.5,3.4620,0.0237,0.8594,0.9747,0.0193,16.27
2.5,2.3756,0.0174,0.8419,0.9966,0.0260,32.92
2.5,2.4789,0.0204,0.8944,0.9878,0.0141,40.86
2.5,2.8842,0.0180,0.8834,0.9915,0.0295,32.78
2.5,3.4091,0.0243,0.8597,0.9767,0.0216,16.23
2.5,2.3512,0.0156,0.8577,0.9834,0.0137,35.49
2.5,2.7210,0.0226,0.8995,0.9901,0.0281,34.75
2.5,2.5812,0.0198,0.8904,0.9707,0.0160,31.20
2.5,2.2246,0.0173,0.8872,0.9937,0.0220,42.06
2.5,2.3161,0.0155,0.8454,0.9920,0.0228,33.98
2.5,3.4503,0.0221,0.8879,0.9843,0.0122,32.04
2.5,3.1302,0.0175,0.8962,0.9736,0.0161,30.85
2.5,2.3654,0.0168,0.8427,0.9811,0.0186,29.52
2.5,3.0562,0.0229,0.8816,0.9958,0.0214,34.72
2.5,3.4101,0.0234,0.8341,0.9909,0.0138,22.77
2.5,2.9613,0.0165,0.8521,0.9841,0.0293,23.89
2.5,3.3335,0.0248,0.9054,0.9929,0.0172,36.47
2.5,2.5637,0.0209,0.8432,0.9983,0.0205,33.31
2.5,2.2524,0.0180,0.8887,0.9794,0.0197,36.26
2.5,2.7936,0.0213,0.9021,0.9955,0.0180,41.50
2.5,2.6226,0.0202,0.8422,0.9913,0.0294,26.28
2.5,3.2350,0.0161,0.8671,0.9766,0.0137,28.43
2.5,3.1991,0.0192,0.9088,0.9904,0.0185,38.09
2.5,2.4138,0.0189,0.8524,0.9841,0.0105,34.61
2.5,2.0327,0.0212,0.8892,0.9899,0.0228,40.30
2.5,3.4430,0.0166,0.8800,0.9787,0.0153,29.16
2.5,3.0187,0.0184,0.8459,0.9933,0.0180,30.25
2.5,2.1973,0.0164,0.8840,0.9940,0.0197,43.25
2.5,2.0561,0.0160,0.8614,0.9935,0.0270,37.21
2.5,2.7051,0.0245,0.8816,0.9719,0.0287,21.40
2.5,3.3266,0.0192,0.8480,0.9759,0.0222,17.15
2.5,2.9224,0.0188,0.8458,0.9856,0.0290,22.59
2.5,2.8438,0.0236,0.8991,0.9887,0.0189,36.44
2.5,3.4425,0.0205,0.8780,0.9719,0.0121,25.65
2.5,2.2676,0.0194,0.8989,0.9781,0.0150,38.23
2.5,2.0515,0.0213,0.8648,0.9728,0.0249,27.93
2.5,3.3101,0.0215,0.8313,0.9853,0.0295,12.02
2.5,3.3052,0.0176,0.8517,0.9911,0.0146,30.22
2.5,2.8699,0.0184,0.8344,0.9754,0.0200,19.47
2.5,2.2027,0.0155,0.9051,0.9922,0.0248,43.64
2.5,2.6770,0.0215,0.8432,0.9998,0.0247,31.17
2.5,2.7579,0.0158,0.8647,0.9958,0.0155,38.37
2.5,2.9163,0.0155,0.8880,0.9786,0.0223,31.38
2.5,3.4001,0.0189,0.8563,0.9740,0.0131,22.24
2.5,3.1154,0.0192,0.8858,0.9937,0.0171,36.82
2.5,2.2960,0.0155,0.8719,0.9884,0.0127,41.18
2.5,2.2471,0.0242,0.8370,0.9904,0.0138,32.01
2.5,2.4558,0.0230,0.8540,0.9743,0.0101,28.32
2.5,2.7338,0.0178,0.8372,0.9985,0.0204,32.40
2.5,2.1478,0.0219,0.9063,0.9863,0.0276,38.23
2.5,2.9587,0.0176,0.8421,0.9987,0.0253,30.01
2.5,2.6424,0.0190,0.8820,0.9764,0.0245,28.99
2.5,3.1582,0.0172,0.8399,0.9858,0.0203,24.46
2.5,3.1361,0.0212,0.8392,0.9833,0.0116,25.23
2.5,2.1313,0.0227,0.8846,0.9974,0.0221,42.30
2.5,2.4007,0.0182,0.8889,0.9982,0.0256,41.39
2.5,2.8970,0.0186,0.8412,0.9982,0.0131,34.29
2.5,3.2955,0.0177,0.8863,0.9836,0.0154,32.99
2.5,2.9595,0.0212,0.8873,0.9799,0.0180,31.03
2.5,2.3803,0.0212,0.8915,0.9754,0.0295,29.16
2.5,2.5089,0.0198,0.9065,0.9955,0.0138,46.45
2.5,2.9299,0.0210,0.8976,0.9773,0.0281,28.07
2.5,3.4787,0.0185,0.8567,0.9988,0.0148,33.38
2.5,2.0758,0.0244,0.8512,0.9958,0.0150,38.33
2.5,2.0262,0.0165,0.8627,0.9743,0.0180,32.85
2.5,2.4379,0.0156,0.8693,0.9996,0.0182,42.30
2.5,2.0374,0.0201,0.8917,0.9738,0.0142,37.21
2.5,2.8438,0.0184,0.8891,0.9804,0.0229,31.59
2.5,2.2158,0.0231,0.8433,0.9846,0.0108,32.78
2.5,2.7312,0.0204,0.8919,0.9856,0.0158,36.68
2.5,2.8389,0.0204,0.8588,0.9937,0.0222,31.48
2.5,2.1501,0.0170,0.8652,0.9928,0.0161,41.39
2.5,2.7143,0.0211,0.8721,0.9785,0.0186,29.16
2.5,2.7744,0.0236,0.8815,0.9723,0.0120,29.44
2.5,2.9408,0.0156,0.9018,0.9973,0.0261,39.63
2.5,2.5619,0.0196,0.8513,0.9878,0.0186,31.24
2.5,2.6243,0.0175,0.8703,0.9778,0.0248,28.53
2.5,2.6619,0.0238,0.8467,0.9707,0.0167,19.68
2.5,3.4289,0.0185,0.8418,0.9718,0.0164,15.99
2.5,3.3326,0.0183,0.8804,0.9794,0.0294,23.30
2.5,2.0562,0.0212,0.8981,0.9705,0.0257,31.66
2.5,2.4063,0.0164,0.8360,0.9907,0.0270,29.30
2.5,2.2479,0.0195,0.8740,0.9909,0.0232,37.21
2.5,2.7777,0.0220,0.8804,0.9704,0.0251,23.26
2.5,3.1719,0.0191,0.9077,0.9880,0.0157,38.16
2.5,2.3762,0.0175,0.8834,0.9853,0.0101,41.25
2.5,2.4610,0.0200,0.8620,0.9930,0.0250,33.73
2.5,2.4257,0.0198,0.8580,0.9802,0.0300,25.61
2.5,2.2526,0.0207,0.8493,0.9866,0.0237,30.46
2.5,2.1304,0.0198,0.8744,0.9774,0.0157,35.17
2.5,3.3008,0.0187,0.9091,0.9719,0.0241,28.07
2.5,2.6860,0.0234,0.8749,0.9997,0.0102,42.13
2.5,2.9542,0.0204,0.8584,0.9873,0.0180,29.44
2.5,3.1464,0.0178,0.9001,0.9727,0.0217,28.85
2.5,2.5150,0.0202,0.9046,0.9953,0.0286,39.53
2.5,2.3318,0.0167,0.8877,0.9931,0.0286,38.23
2.5,2.5201,0.0244,0.8570,0.9742,0.0214,22.70
2.5,2.1910,0.0228,0.8999,0.9915,0.0196,42.59
2.5,3.3972,0.0198,0.8403,0.9815,0.0257,15.60
2.5,2.9695,0.0234,0.9071,0.9706,0.0121,31.80
2.5,2.5884,0.0201,0.8347,0.9870,0.0231,25.83
2.5,3.4301,0.0198,0.8990,0.9812,0.0105,34.36
2.5,2.0409,0.0177,0.8344,0.9810,0.0236,28.32
2.5,2.7101,0.0170,0.8367,0.9860,0.0255,25.30
2.5,2.1789,0.0249,0.8853,0.9992,0.0283,39.42
2.5,3.3063,0.0167,0.8827,0.9864,0.0175,33.06
2.5,2.6957,0.0237,0.8836,0.9881,0.0209,33.87
2.5,2.2335,0.0208,0.8828,0.9731,0.0258,29.16
2.5,3.1585,0.0196,0.8989,1.0000,0.0100,44.38
2.5,2.0920,0.0186,0.9069,0.9952,0.0217,46.59
2.5,2.3807,0.0161,0.8488,0.9948,0.0227,35.24
2.5,2.7832,0.0218,0.9070,0.9924,0.0300,36.23
2.5,2.6413,0.0210,0.8451,0.9997,0.0249,31.83
2.5,3.1363,0.0191,0.8922,0.9907,0.0210,35.17
2.5,2.3511,0.0234,0.8466,0.9726,0.0145,25.19
2.5,2.7111,0.0232,0.8942,0.9846,0.0130,37.17
2.5,2.1591,0.0211,0.8454,0.9980,0.0245,35.14
2.5,3.3097,0.0190,0.8863,0.9926,0.0240,33.13
2.5,2.0620,0.0209,0.8605,0.9996,0.0172,42.83
2.5,2.5664,0.0220,0.8828,0.9819,0.0172,33.84
2.5,3.4108,0.0173,0.8331,0.9850,0.0198,20.10
2.5,3.1985,0.0195,0.8957,0.9770,0.0191,29.90
2.5,2.7140,0.0215,0.8620,0.9862,0.0187,30.50
2.5,3.3173,0.0212,0.8987,0.9864,0.0278,29.87
2.5,2.0091,0.0166,0.8797,0.9852,0.0147,41.88
2.5,3.2080,0.0176,0.8332,0.9816,0.0183,20.70
2.5,3.3754,0.0172,0.8558,0.9936,0.0282,27.09
2.5,3.1394,0.0187,0.8899,0.9836,0.0211,31.80
2.5,2.8904,0.0185,0.8432,0.9784,0.0160,24.84
2.5,2.8844,0.0206,0.8762,0.9783,0.0249,26.49
2.5,2.4560,0.0242,0.8431,0.9975,0.0136,35.03
2.5,2.2780,0.0232,0.8924,0.9752,0.0128,35.63
2.5,3.1815,0.0153,0.8633,0.9908,0.0277,29.06
2.5,2.2460,0.0227,0.8497,0.9702,0.0198,23.51
2.5,3.3698,0.0201,0.9017,0.9945,0.0110,40.44
2.5,2.4983,0.0163,0.8523,0.9910,0.0126,36.89
2.5,2.8672,0.0225,0.8781,0.9929,0.0118,37.70
2.5,3.4647,0.0244,0.8915,0.9830,0.0241,26.11
2.5,2.0581,0.0173,0.8805,0.9896,0.0247,38.97
2.5,2.8245,0.0209,0.8738,0.9872,0.0107,35.77
2.5,2.1239,0.0180,0.8499,0.9926,0.0241,35.24
2.5,3.1842,0.0247,0.8953,0.9839,0.0254,28.57
2.5,2.4467,0.0187,0.8666,0.9974,0.0229,37.42
2.5,2.4879,0.0215,0.8319,0.9790,0.0285,18.06
2.5,2.0779,0.0193,0.8527,0.9874,0.0186,35.31
2.5,3.0913,0.0173,0.8452,0.9853,0.0155,28.04
2.5,2.6788,0.0204,0.8459,0.9803,0.0124,28.46
2.5,3.4631,0.0177,0.9043,0.9719,0.0168,29.27
2.5,2.9577,0.0235,0.8445,0.9702,0.0167,16.16
2.5,2.2612,0.0166,0.9076,0.9903,0.0190,44.45
2.5,3.0621,0.0190,0.9008,0.9874,0.0203,35.95
2.5,2.1382,0.0171,0.8730,0.9840,0.0118,40.06
2.5,2.5929,0.0157,0.8301,0.9809,0.0116,28.60
2.5,2.7898,0.0227,0.8613,0.9870,0.0287,25.90
2.5,3.3162,0.0195,0.8904,0.9954,0.0135,38.44
2.5,2.8747,0.0167,0.8675,0.9770,0.0225,27.20
2.5,3.4763,0.0174,0.8970,0.9913,0.0131,37.84
2.5,3.0385,0.0214,0.9016,0.9850,0.0170,35.66
2.5,3.3841,0.0210,0.8468,0.9725,0.0263,10.44
2.5,2.4855,0.0152,0.8473,0.9785,0.0286,25.02
2.5,2.7338,0.0201,0.8406,0.9703,0.0235,16.37
2.5,3.4731,0.0190,0.8558,0.9958,0.0264,27.44
2.5,3.4491,0.0166,0.8768,0.9735,0.0245,21.33
2.5,3.3657,0.0212,0.8686,0.9934,0.0165,31.97
2.5,3.2371,0.0155,0.9058,0.9701,0.0115,32.78
2.5,2.4957,0.0153,0.9067,0.9896,0.0129,45.43
2.5,2.1591,0.0150,0.8728,0.9947,0.0156,44.34
2.5,2.6333,0.0158,0.8988,0.9922,0.0113,44.94
2.5,3.1785,0.0209,0.8836,0.9938,0.0247,32.82
2.5,3.1890,0.0237,0.9064,0.9762,0.0225,28.43
2.5,2.5458,0.0242,0.8346,0.9869,0.0144,27.44
2.5,2.7395,0.0196,0.8708,0.9858,0.0138,34.79
2.5,3.0289,0.0237,0.8328,0.9851,0.0281,14.41
2.5,3.0169,0.0205,0.8659,0.9702,0.0163,23.01
2.5,3.1209,0.0205,0.8728,0.9884,0.0128,33.91
2.5,2.9082,0.0212,0.9026,0.9764,0.0120,34.79
2.5,2.3330,0.0240,0.9058,0.9751,0.0200,34.36
2.5,2.9130,0.0236,0.8955,0.9764,0.0298,25.72
2.5,2.0970,0.0181,0.8438,0.9883,0.0248,32.12
2.5,2.6640,0.0176,0.8420,0.9860,0.0176,29.44
2.5,2.9045,0.0242,0.8486,0.9897,0.0150,28.53
2.5,3.3555,0.0176,0.8530,0.9892,0.0129,30.08
2.5,3.3459,0.0199,0.8348,0.9953,0.0128,28.53
2.5,2.4820,0.0165,0.9094,0.9763,0.0143,38.65
2.5,3.0028,0.0217,0.9011,0.9820,0.0107,36.58
2.5,3.3072,0.0209,0.8343,0.9745,0.0177,14.09
2.5,3.4442,0.0208,0.8827,0.9738,0.0122,27.51
2.5,2.9472,0.0185,0.8646,0.9936,0.0273,30.74
2.5,3.4107,0.0244,0.8727,0.9741,0.0215,17.88
2.5,2.6887,0.0193,0.8589,0.9763,0.0193,26.81
2.5,2.8983,0.0205,0.8857,0.9924,0.0206,35.95
2.5,3.0723,0.0172,0.8939,0.9932,0.0137,40.27
2.5,3.0740,0.0179,0.8913,0.9897,0.0140,37.77
2.5,2.8320,0.0192,0.8498,0.9877,0.0287,25.44
2.5,2.8388,0.0208,0.8948,0.9746,0.0242,28.71
2.5,3.1884,0.0163,0.9062,0.9715,0.0126,32.92
2.5,2.3299,0.0217,0.8510,0.9892,0.0114,35.66
2.5,2.5445,0.0249,0.8686,0.9778,0.0118,30.11
2.5,2.9660,0.0240,0.8958,0.9960,0.0168,39.14
2.5,2.3420,0.0184,0.8841,0.9823,0.0201,35.80
2.5,3.4133,0.0209,0.8566,0.9961,0.0119,32.15
2.5,3.3712,0.0196,0.8860,0.9971,0.0247,34.12
2.5,3.3358,0.0243,0.8820,0.9846,0.0193,28.18
2.5,3.0239,0.0187,0.8761,0.9991,0.0134,39.85
2.5,2.6165,0.0206,0.8870,0.9932,0.0256,36.26
2.5,3.4079,0.0176,0.8433,0.9734,0.0231,14.23
2.5,3.3887,0.0182,0.8401,0.9791,0.0160,20.10
2.5,2.0175,0.0196,0.8470,0.9772,0.0299,25.58
2.5,2.7175,0.0220,0.9058,0.9925,0.0292,36.44
2.5,2.4979,0.0232,0.8411,0.9975,0.0153,34.08
2.5,2.9814,0.0235,0.8445,0.9804,0.0241,17.92
2.5,2.9756,0.0169,0.8495,0.9971,0.0171,34.01
2.5,3.2511,0.0211,0.8823,0.9887,0.0227,30.53
2.5,2.7325,0.0151,0.8806,0.9735,0.0281,27.02
2.5,3.3767,0.0179,0.8781,0.9731,0.0276,19.61
2.5,2.7599,0.0220,0.8670,0.9961,0.0201,34.96
2.5,3.3337,0.0156,0.9024,0.9725,0.0173,30.67
2.5,2.6146,0.0218,0.8561,0.9802,0.0280,23.54
2.5,2.4712,0.0225,0.8701,0.9957,0.0123,40.48
2.5,2.0579,0.0206,0.9038,0.9885,0.0158,45.05
2.5,2.2326,0.0182,0.8370,0.9835,0.0136,31.97
2.5,2.6101,0.0235,0.9006,0.9783,0.0113,36.58
2.5,2.2713,0.0153,0.8301,0.9704,0.0241,21.75
2.5,2.3459,0.0185,0.8378,0.9900,0.0158,32.99
2.5,2.2144,0.0165,0.8407,0.9961,0.0177,37.28
2.5,2.5613,0.0172,0.9023,0.9939,0.0290,39.07
2.5,2.8547,0.0239,0.8495,0.9876,0.0234,25.09
2.5,2.1609,0.0248,0.8373,0.9741,0.0222,21.47
2.5,2.3596,0.0226,0.8375,0.9882,0.0246,26.99
2.5,2.0144,0.0156,0.8430,0.9974,0.0236,37.95
2.5,3.3263,0.0227,0.8953,0.9786,0.0149,30.01
2.5,2.3281,0.0207,0.9100,0.9940,0.0183,45.15
2.5,2.9357,0.0233,0.9007,0.9833,0.0178,34.36
2.5,2.5392,0.0184,0.8569,0.9741,0.0174,27.55
2.5,2.7727,0.0189,0.8675,0.9770,0.0297,23.68
2.5,2.9333,0.0153,0.8821,0.9883,0.0107,38.79
2.5,3.3368,0.0158,0.8607,0.9765,0.0165,25.23
2.5,2.5639,0.0166,0.8411,0.9768,0.0177,26.32
2.5,3.2933,0.0226,0.9088,0.9955,0.0156,40.02
2.5,2.6309,0.0219,0.8464,0.9886,0.0117,32.01
2.5,2.6914,0.0243,0.8361,0.9853,0.0226,21.64
2.5,2.6218,0.0240,0.9029,0.9853,0.0174,37.53
2.5,3.3312,0.0154,0.8768,0.9841,0.0212,29.87
2.5,2.0764,0.0157,0.8627,0.9904,0.0175,39.95
2.5,2.6243,0.0238,0.8654,0.9944,0.0250,32.12
2.5,2.6634,0.0230,0.8442,0.9882,0.0219,26.88
2.5,3.3117,0.0176,0.8501,0.9911,0.0287,24.07
2.5,3.3783,0.0185,0.8852,0.9940,0.0186,35.21
2.5,2.4148,0.0247,0.8929,0.9848,0.0253,33.84
2.5,2.3781,0.0246,0.8902,0.9836,0.0293,31.20
2.5,2.3294,0.0185,0.8592,0.9918,0.0249,34.36
2.5,2.7172,0.0212,0.8849,0.9726,0.0288,24.74
2.5,2.8990,0.0151,0.8395,0.9754,0.0102,26.60
2.5,2.1444,0.0245,0.8910,0.9743,0.0229,31.27
2.5,2.6461,0.0190,0.8551,0.9814,0.0173,29.16
2.5,3.1489,0.0213,0.8919,0.9774,0.0103,32.71
2.5,2.5000,0.0243,0.8888,0.9996,0.0215,40.79
