channel_A,channel_B,own_A,own_B,own_AB,interaction_pp
SS,Bequests,100.00,41.85,100.00,0.00
SS,Medical+R-S,100.00,31.48,88.30,-1.34
SS,Loads,100.00,36.12,62.93,-31.34
SS,Inflation,100.00,39.53,100.00,2.32
SS,Pessimism,100.00,38.86,85.52,-11.49
SS,HealthUtil,100.00,41.67,100.00,0.18
SS,AgeNeeds,100.00,40.44,98.17,-0.42
Bequests,Medical+R-S,41.85,31.48,31.17,-0.32
Bequests,Loads,41.85,36.12,36.05,-0.07
Bequests,Inflation,41.85,39.53,39.49,-0.04
Bequests,Pessimism,41.85,38.86,38.76,-0.11
Bequests,HealthUtil,41.85,41.67,41.67,0.00
Bequests,AgeNeeds,41.85,40.44,40.30,-0.14
Medical+R-S,Loads,31.48,36.12,23.30,-2.46
Medical+R-S,Inflation,31.48,39.53,29.94,0.77
Medical+R-S,Pessimism,31.48,38.86,27.90,-0.60
Medical+R-S,HealthUtil,31.48,41.67,31.69,0.39
Medical+R-S,AgeNeeds,31.48,40.44,29.52,-0.56
Loads,Inflation,36.12,39.53,33.66,-0.14
Loads,Pessimism,36.12,38.86,32.85,-0.28
Loads,HealthUtil,36.12,41.67,35.98,0.04
Loads,AgeNeeds,36.12,40.44,34.72,0.00
Inflation,Pessimism,39.53,38.86,37.49,0.95
Inflation,HealthUtil,39.53,41.67,39.39,0.04
Inflation,AgeNeeds,39.53,40.44,38.51,0.39
Pessimism,HealthUtil,38.86,41.67,38.90,0.21
Pessimism,AgeNeeds,38.86,40.44,37.60,0.14
HealthUtil,AgeNeeds,41.67,40.44,40.13,-0.14
