channel_A,channel_B,own_A_pct,own_B_pct,own_AB_pct,interaction_pp
SS,Bequests,100.00,41.85,100.00,0.00
SS,Medical+R-S,100.00,31.48,88.30,-1.34
SS,Pessimism,100.00,38.86,85.52,-11.49
SS,Age needs,100.00,40.44,98.17,-0.42
SS,State utility,100.00,41.67,100.00,0.18
SS,Loads,100.00,36.12,62.93,-31.34
SS,Inflation,100.00,39.53,100.00,2.32
SS,Public-care aversion (LTC),100.00,41.85,100.00,0.00
SS,Source-dependent utility (SDU),100.00,80.89,100.00,-39.04
SS,Narrow-framing penalty (PED),100.00,19.15,10.72,-66.58
Bequests,Medical+R-S,41.85,31.48,31.17,-0.32
Bequests,Pessimism,41.85,38.86,38.76,-0.11
Bequests,Age needs,41.85,40.44,40.30,-0.14
Bequests,State utility,41.85,41.67,41.67,0.00
Bequests,Loads,41.85,36.12,36.05,-0.07
Bequests,Inflation,41.85,39.53,39.49,-0.04
Bequests,Public-care aversion (LTC),41.85,41.85,41.85,0.00
Bequests,Source-dependent utility (SDU),41.85,80.89,80.85,-0.04
Bequests,Narrow-framing penalty (PED),41.85,19.15,18.87,-0.28
Medical+R-S,Pessimism,31.48,38.86,27.90,-0.60
Medical+R-S,Age needs,31.48,40.44,29.52,-0.56
Medical+R-S,State utility,31.48,41.67,31.69,0.39
Medical+R-S,Loads,31.48,36.12,23.30,-2.46
Medical+R-S,Inflation,31.48,39.53,29.94,0.77
Medical+R-S,Public-care aversion (LTC),31.48,41.85,33.80,2.32
Medical+R-S,Source-dependent utility (SDU),31.48,80.89,42.34,-28.18
Medical+R-S,Narrow-framing penalty (PED),31.48,19.15,0.00,-8.78
Pessimism,Age needs,38.86,40.44,37.60,0.14
Pessimism,State utility,38.86,41.67,38.90,0.21
Pessimism,Loads,38.86,36.12,32.85,-0.28
Pessimism,Inflation,38.86,39.53,37.49,0.95
Pessimism,Public-care aversion (LTC),38.86,41.85,38.86,0.00
Pessimism,Source-dependent utility (SDU),38.86,80.89,64.09,-13.81
Pessimism,Narrow-framing penalty (PED),38.86,19.15,0.00,-16.16
Age needs,State utility,40.44,41.67,40.13,-0.14
Age needs,Loads,40.44,36.12,34.72,0.00
Age needs,Inflation,40.44,39.53,38.51,0.39
Age needs,Public-care aversion (LTC),40.44,41.85,40.44,0.00
Age needs,Source-dependent utility (SDU),40.44,80.89,71.01,-8.47
Age needs,Narrow-framing penalty (PED),40.44,19.15,9.94,-7.80
State utility,Loads,41.67,36.12,35.98,0.04
State utility,Inflation,41.67,39.53,39.39,0.04
State utility,Public-care aversion (LTC),41.67,41.85,41.67,0.00
State utility,Source-dependent utility (SDU),41.67,80.89,79.97,-0.74
State utility,Narrow-framing penalty (PED),41.67,19.15,17.71,-1.26
Loads,Inflation,36.12,39.53,33.66,-0.14
Loads,Public-care aversion (LTC),36.12,41.85,36.12,0.00
Loads,Source-dependent utility (SDU),36.12,80.89,42.66,-32.50
Loads,Narrow-framing penalty (PED),36.12,19.15,0.00,-13.42
Inflation,Public-care aversion (LTC),39.53,41.85,39.53,0.00
Inflation,Source-dependent utility (SDU),39.53,80.89,78.29,-0.28
Inflation,Narrow-framing penalty (PED),39.53,19.15,14.55,-2.28
Public-care aversion (LTC),Source-dependent utility (SDU),41.85,80.89,80.89,0.00
Public-care aversion (LTC),Narrow-framing penalty (PED),41.85,19.15,19.15,0.00
Source-dependent utility (SDU),Narrow-framing penalty (PED),80.89,19.15,56.68,-1.51
