bitmask,channel_names_active,ownership_pct,mean_alpha,solve_time
0,None,41.8482,0.407621,15.4
1,SS,100.0000,0.944694,63.0
2,Bequests,41.8482,0.394469,15.4
3,SS+Bequests,100.0000,0.908682,59.4
4,Medical+R-S,31.4828,0.285204,125.2
5,SS+Medical+R-S,88.2994,0.577916,461.0
6,Bequests+Medical+R-S,31.1665,0.266627,113.3
7,SS+Bequests+Medical+R-S,87.7372,0.527944,452.7
8,Pessimism,38.8616,0.353651,17.3
9,SS+Pessimism,85.5235,0.580274,63.0
10,Bequests+Pessimism,38.7561,0.313573,16.5
11,SS+Bequests+Pessimism,84.6803,0.436571,60.0
12,Medical+R-S+Pessimism,27.8988,0.230411,126.3
13,SS+Medical+R-S+Pessimism,64.5819,0.352375,493.5
14,Bequests+Medical+R-S+Pessimism,27.2663,0.195453,110.7
15,SS+Bequests+Medical+R-S+Pessimism,62.4034,0.245091,449.2
16,Age needs,40.4427,0.382063,16.4
17,SS+Age needs,98.1729,0.763127,63.8
18,Bequests+Age needs,40.3022,0.364220,16.4
19,SS+Bequests+Age needs,98.1026,0.706757,59.5
20,Medical+R-S+Age needs,29.5151,0.256806,126.6
21,SS+Medical+R-S+Age needs,75.4041,0.444621,495.5
22,Bequests+Medical+R-S+Age needs,29.3043,0.236388,116.2
23,SS+Bequests+Medical+R-S+Age needs,74.3851,0.390587,464.6
24,Pessimism+Age needs,37.5966,0.327143,16.6
25,SS+Pessimism+Age needs,76.0014,0.450141,63.2
26,Bequests+Pessimism+Age needs,37.4912,0.280980,15.9
27,SS+Bequests+Pessimism+Age needs,73.4715,0.277242,61.4
28,Medical+R-S+Pessimism+Age needs,25.8960,0.204009,125.4
29,SS+Medical+R-S+Pessimism+Age needs,56.8517,0.277737,488.5
30,Bequests+Medical+R-S+Pessimism+Age needs,25.1933,0.162024,112.4
31,SS+Bequests+Medical+R-S+Pessimism+Age needs,54.1813,0.155583,444.4
32,State utility,41.6725,0.404339,16.3
33,SS+State utility,100.0000,0.934986,63.4
34,Bequests+State utility,41.6725,0.389986,16.1
35,SS+Bequests+State utility,100.0000,0.895998,60.4
36,Medical+R-S+State utility,31.6936,0.287699,124.4
37,SS+Medical+R-S+State utility,89.2129,0.590067,497.1
38,Bequests+Medical+R-S+State utility,31.5179,0.269786,111.0
39,SS+Bequests+Medical+R-S+State utility,88.7913,0.537920,457.3
40,Pessimism+State utility,38.8967,0.351100,16.8
41,SS+Pessimism+State utility,85.8046,0.565495,61.8
42,Bequests+Pessimism+State utility,38.8264,0.308805,16.5
43,SS+Bequests+Pessimism+State utility,84.3289,0.410074,58.6
44,Medical+R-S+Pessimism+State utility,27.9691,0.231852,127.7
45,SS+Medical+R-S+Pessimism+State utility,65.7765,0.358900,499.8
46,Bequests+Medical+R-S+Pessimism+State utility,27.4772,0.195566,110.6
47,SS+Bequests+Medical+R-S+Pessimism+State utility,62.6845,0.243408,444.5
48,Age needs+State utility,40.1265,0.377203,15.9
49,SS+Age needs+State utility,97.4350,0.746634,66.3
50,Bequests+Age needs+State utility,40.0211,0.357540,16.6
51,SS+Bequests+Age needs+State utility,97.1188,0.685942,60.4
52,Medical+R-S+Age needs+State utility,29.5502,0.257365,122.0
53,SS+Medical+R-S+Age needs+State utility,77.0204,0.452639,500.2
54,Bequests+Medical+R-S+Age needs+State utility,29.4448,0.236873,109.5
55,SS+Bequests+Medical+R-S+Age needs+State utility,75.8257,0.391771,469.3
56,Pessimism+Age needs+State utility,37.4561,0.323647,15.7
57,SS+Pessimism+Age needs+State utility,74.9122,0.437505,63.0
58,Bequests+Pessimism+Age needs+State utility,37.2101,0.274132,15.5
59,SS+Bequests+Pessimism+Age needs+State utility,71.5039,0.253440,63.8
60,Medical+R-S+Pessimism+Age needs+State utility,25.9311,0.204287,125.7
61,SS+Medical+R-S+Pessimism+Age needs+State utility,57.9058,0.281550,476.5
62,Bequests+Medical+R-S+Pessimism+Age needs+State utility,25.2987,0.161100,110.1
63,SS+Bequests+Medical+R-S+Pessimism+Age needs+State utility,54.9192,0.151058,464.0
64,Loads,36.1209,0.334174,15.9
65,SS+Loads,62.9304,0.534926,63.5
66,Bequests+Loads,36.0506,0.313577,15.0
