idx,age,cum_death_prob,female_share
1,65,0.000000000,0.6924
2,66,0.014080009,0.6924
3,67,0.029225371,0.6924
4,68,0.045501227,0.6924
5,69,0.062969766,0.6924
6,70,0.081702625,0.6924
7,71,0.101829842,0.6924
8,72,0.123447342,0.6924
9,73,0.146565069,0.6924
10,74,0.171163314,0.6924
11,75,0.197260439,0.6924
12,76,0.225008202,0.6924
13,77,0.254516122,0.6924
14,78,0.285722072,0.6924
15,79,0.318515578,0.6924
16,80,0.352840707,0.6924
17,81,0.388729168,0.6924
18,82,0.426208232,0.6924
19,83,0.465190123,0.6924
20,84,0.505511748,0.6924
21,85,0.546922933,0.6924
22,86,0.589080002,0.6924
23,87,0.631546532,0.6924
24,88,0.673803954,0.6924
25,89,0.715268514,0.6924
26,90,0.755317102,0.6924
27,91,0.793322061,0.6924
28,92,0.828691815,0.6924
29,93,0.860912500,0.6924
30,94,0.889587463,0.6924
31,95,0.914468649,0.6924
32,96,0.935396371,0.6924
33,97,0.952445111,0.6924
34,98,0.965889749,0.6924
35,99,0.976151513,0.6924
36,100,0.983734286,0.6924
37,101,0.989201654,0.6924
38,102,0.993039646,0.6924
39,103,0.995656147,0.6924
40,104,0.997383583,0.6924
41,105,0.998484520,0.6924
42,106,0.999159387,0.6924
43,107,0.999555625,0.6924
44,108,0.999777381,0.6924
45,109,0.999895012,0.6924
46,110,0.999953760,0.6924
