subgroup,bucket,outcome,n_yes,n_denom,pct
age,50-59,lump_sum,1,116,0.8621
age,50-59,dc_plan,93,3411,2.7265
age,60-64,lump_sum,1,189,0.5291
age,60-64,dc_plan,69,2266,3.0450
age,65-69,lump_sum,2,247,0.8097
age,65-69,dc_plan,80,1973,4.0547
age,70-74,lump_sum,1,87,1.1494
age,70-74,dc_plan,63,1620,3.8889
age,75-79,lump_sum,1,46,2.1739
age,75-79,dc_plan,44,1100,4.0000
age,80-100,lump_sum,1,17,5.8824
age,80-100,dc_plan,32,1044,3.0651
sex,Male,lump_sum,7,318,2.2013
sex,Male,dc_plan,244,6055,4.0297
sex,Female,lump_sum,0,385,0.0000
sex,Female,dc_plan,144,5657,2.5455
education,High,lump_sum,3,286,1.0490
education,High,dc_plan,128,3992,3.2064
education,Mid,lump_sum,4,263,1.5209
education,Mid,dc_plan,188,5164,3.6406
education,Low,lump_sum,0,0,0.0000
education,Low,dc_plan,0,0,0.0000
health,Good,lump_sum,4,310,1.2903
health,Good,dc_plan,175,5353,3.2692
health,Fair,lump_sum,1,231,0.4329
health,Fair,dc_plan,128,3839,3.3342
health,Poor,lump_sum,2,162,1.2346
health,Poor,dc_plan,85,2517,3.3770
