age_band,type,from_state,to_good,to_fair,to_poor,n_from
65-69,count,Good,5833,1837,442,8112
65-69,count,Fair,1457,3511,1307,6275
65-69,count,Poor,306,1022,3536,4864
65-69,2year,Good,0.719058,0.226455,0.054487,8112
65-69,2year,Fair,0.232191,0.559522,0.208287,6275
65-69,2year,Poor,0.062911,0.210115,0.726974,4864
65-69,annual,Good,0.835104,0.143644,0.021252,8112
65-69,annual,Fair,0.146943,0.721875,0.131182,6275
65-69,annual,Poor,0.025948,0.131965,0.842087,4864
70-74,count,Good,4776,1654,478,6908
70-74,count,Fair,1336,3093,1369,5798
70-74,count,Poor,276,939,3577,4792
70-74,2year,Good,0.691372,0.239433,0.069195,6908
70-74,2year,Fair,0.230424,0.533460,0.236116,5798
70-74,2year,Poor,0.057596,0.195952,0.746452,4792
70-74,annual,Good,0.817002,0.155458,0.027540,6908
70-74,annual,Fair,0.149467,0.701249,0.149283,5798
70-74,annual,Poor,0.023415,0.123746,0.852839,4792
75-79,count,Good,3063,1301,423,4787
75-79,count,Fair,947,2348,1195,4490
75-79,count,Poor,242,832,2938,4012
75-79,2year,Good,0.639858,0.271778,0.088364,4787
75-79,2year,Fair,0.210913,0.522940,0.266147,4490
75-79,2year,Poor,0.060319,0.207378,0.732303,4012
75-79,annual,Good,0.783266,0.181404,0.035330,4787
75-79,annual,Fair,0.140268,0.689135,0.170597,4490
75-79,annual,Poor,0.025688,0.132405,0.841907,4012
80-84,count,Good,1794,854,383,3031
80-84,count,Fair,626,1530,902,3058
80-84,count,Poor,205,589,2165,2959
80-84,2year,Good,0.591884,0.281755,0.126361,3031
80-84,2year,Fair,0.204709,0.500327,0.294964,3058
80-84,2year,Poor,0.069280,0.199054,0.731666,2959
80-84,annual,Good,0.750361,0.193290,0.056349,3031
80-84,annual,Fair,0.139786,0.670101,0.190114,3058
80-84,annual,Poor,0.032341,0.127677,0.839983,2959
85-89,count,Good,796,402,231,1429
85-89,count,Fair,355,759,577,1691
85-89,count,Poor,139,366,1315,1820
85-89,2year,Good,0.557033,0.281316,0.161652,1429
85-89,2year,Fair,0.209935,0.448847,0.341218,1691
85-89,2year,Poor,0.076374,0.201099,0.722527,1820
85-89,annual,Good,0.723996,0.201431,0.074573,1429
85-89,annual,Fair,0.149710,0.623234,0.227055,1691
85-89,annual,Poor,0.036294,0.133314,0.830392,1820
90+,count,Good,319,185,142,646
90+,count,Fair,168,300,252,720
90+,count,Poor,74,204,556,834
90+,2year,Good,0.493808,0.286378,0.219814,646
90+,2year,Fair,0.233333,0.416667,0.350000,720
90+,2year,Poor,0.088729,0.244604,0.666667,834
90+,annual,Good,0.671720,0.212755,0.115525,646
90+,annual,Fair,0.178696,0.580609,0.240695,720
90+,annual,Poor,0.039664,0.172591,0.787745,834
