age_band,health_state,n_obs,n_deaths,mortality_2yr,annual_hazard,hazard_ratio_vs_fair
65-74,Good (Exc/VG),24805,401,0.0162,0.0081,0.49
65-74,Fair (Good),21193,688,0.0325,0.0165,1.00
65-74,Poor (Fair/Poor),18108,1861,0.1028,0.0542,3.29
75-84,Good (Exc/VG),14314,661,0.0462,0.0236,0.60
75-84,Fair (Good),14930,1125,0.0754,0.0392,1.00
75-84,Poor (Fair/Poor),15544,3034,0.1952,0.1086,2.77
85+,Good (Exc/VG),4587,810,0.1766,0.0971,0.74
85+,Fair (Good),5444,1258,0.2311,0.1314,1.00
85+,Poor (Fair/Poor),7324,2784,0.3801,0.2391,1.82
All 65+,Good (Exc/VG),43706,1872,0.0428,0.0219,0.57
All 65+,Fair (Good),41567,3071,0.0739,0.0384,1.00
All 65+,Poor (Fair/Poor),40976,7679,0.1874,0.1038,2.70
