wealth,perm_income,age,health,own_life_ann,weight
0.0,6000.0,65,2,0.0,3390.0
0.0,6276.0,67,3,0.0,2908.0
0.0,6480.0,65,3,0.0,1765.0
1011.0,8532.0,65,2,0.0,1765.0
375500.0,10800.0,65,2,0.0,7535.0
1302576.4,16136.7,68,1,0.0,2453.0
1302576.4,12888.3,69,2,0.0,2421.0
235000.0,7980.0,68,2,0.0,1765.0
0.0,4368.0,66,3,0.0,1347.0
5025.0,10932.0,68,3,0.0,6917.0
0.0,0.0,68,2,0.0,2185.0
860000.0,3840.0,68,1,0.0,3164.0
10500.0,10104.0,69,2,0.0,3350.0
0.0,6372.0,67,3,0.0,1057.0
300.0,6840.0,67,2,0.0,1860.0
10200.0,10800.0,68,3,0.0,3476.0
2000.0,11724.0,67,2,0.0,3668.0
70000.0,7440.0,68,1,0.0,3476.0
19300.0,6828.0,67,1,0.0,1860.0
2000.0,11436.0,67,2,0.0,1482.0
914.0,11004.0,68,3,0.0,4217.0
459000.0,0.0,67,1,0.0,1871.0
0.0,6648.0,69,3,0.0,1871.0
171260.0,12477.3,68,3,0.0,1871.0
44000.0,11880.0,65,1,0.0,6354.0
39000.0,9600.0,67,1,0.0,3402.0
30000.0,13980.0,65,2,0.0,3402.0
1500.0,5880.0,66,3,0.0,1871.0
17800.0,2280.0,66,2,0.0,3038.0
75.0,11316.0,68,2,0.0,3038.0
861500.0,6000.0,69,1,0.0,3421.0
60000.0,10308.0,67,3,0.0,2914.0
52900.0,2452.0,65,3,0.0,2949.0
6600.0,0.0,65,1,0.0,4287.0
0.0,1368.0,65,3,0.0,1815.0
55000.0,7668.0,65,1,0.0,2217.0
0.0,2832.0,67,3,0.0,1640.0
1000.0,12000.0,68,2,0.0,1623.0
57000.0,5243.5,66,1,0.0,1632.0
0.0,7596.0,66,3,0.0,2045.0
0.0,8400.0,68,3,0.0,1949.0
300.0,6540.0,68,3,0.0,1548.0
119300.0,2088.0,68,2,1.0,4441.0
0.0,8400.0,68,2,0.0,5196.0
305000.0,6201.2,65,1,0.0,3198.0
25.0,4320.0,67,2,0.0,3522.0
17500.0,3680.0,65,3,0.0,3715.0
0.0,10800.0,69,1,0.0,3149.0
0.0,8988.0,66,2,0.0,3174.0
6000.0,7200.0,68,3,0.0,1654.0
0.0,300.0,65,3,0.0,1654.0
61500.0,5064.0,67,2,0.0,2138.0
308000.0,0.0,66,2,0.0,2689.0
41000.0,11088.0,68,1,0.0,2687.0
35800.0,11028.0,65,3,0.0,2449.0
15431.0,10092.0,69,2,0.0,4262.0
61700.0,12000.0,67,2,0.0,4262.0
0.0,5580.0,69,3,0.0,1506.0
0.0,7656.0,66,3,0.0,1506.0
156000.0,14400.0,69,3,0.0,4884.0
8000.0,8292.0,68,2,0.0,3884.0
39000.0,11700.0,65,1,0.0,3506.0
0.0,6636.0,65,3,0.0,2300.0
0.0,6528.0,68,2,0.0,1565.0
650.0,10656.0,69,2,0.0,2250.0
0.0,7800.0,66,3,0.0,3448.0
774500.0,0.0,66,2,0.0,3150.0
0.0,10200.0,66,3,0.0,1698.0
0.0,8400.0,66,1,0.0,5827.0
20000.0,8652.0,68,1,0.0,4297.0
19500.0,8400.0,67,1,0.0,4297.0
9000.0,0.0,68,2,0.0,1564.0
89000.0,0.0,67,2,0.0,1564.0
355000.0,9600.0,68,1,0.0,5767.0
30000.0,11220.0,67,1,0.0,3306.0
24600.0,4956.0,66,3,0.0,1945.0
327000.0,8140.0,66,1,0.0,2910.0
64000.0,0.0,65,1,0.0,2749.0
72000.0,7200.0,68,2,0.0,1396.0
140500.0,9444.0,68,1,0.0,3392.0
23500.0,11952.0,68,1,0.0,3062.0
41000.0,9336.0,68,3,0.0,3580.0
0.0,0.0,68,1,0.0,2174.0
138000.0,12024.0,67,2,0.0,3376.0
6500.0,10200.0,69,3,0.0,3563.0
425820.0,12984.0,69,3,0.0,2886.0
2300.0,7740.0,65,1,0.0,2080.0
2400.0,7200.0,65,1,0.0,1697.0
0.0,14763.0,67,1,0.0,2652.0
149000.0,9960.0,67,2,0.0,3298.0
10000.0,9324.0,67,3,0.0,2904.0
2610.0,9564.0,67,2,0.0,1666.0
272000.0,7812.0,66,1,0.0,3523.0
1022000.0,14460.0,69,2,0.0,2990.0
94000.0,9480.0,65,1,0.0,2589.0
0.0,10908.0,67,2,0.0,3390.0
9000.0,9048.0,67,3,0.0,3390.0
39000.0,13200.0,66,3,0.0,2376.0
12000.0,15192.0,69,1,0.0,4026.0
2178000.0,13475.0,67,2,0.0,4426.0
15100.0,10824.0,66,3,0.0,1458.0
15100.0,0.0,65,3,0.0,1439.0
0.0,6528.0,67,3,0.0,1779.0
31000.0,7740.0,67,1,0.0,2300.0
0.0,9564.0,67,2,0.0,1779.0
0.0,1724.0,65,3,0.0,2337.0
0.0,6396.0,67,2,0.0,2934.0
38000.0,6000.0,66,1,0.0,2337.0
557.0,6360.0,68,3,0.0,1548.0
0.0,7392.0,69,3,0.0,867.0
207200.0,10860.0,65,3,0.0,1182.0
1000.0,2400.0,66,2,0.0,1444.0
0.0,3336.0,69,2,0.0,1444.0
1008.0,4440.0,65,2,0.0,3305.0
0.0,8646.0,65,3,0.0,914.0
3450.0,4323.0,66,3,0.0,3305.0
0.0,5340.0,65,3,0.0,2402.0
197500.0,0.0,65,2,0.0,2402.0
104000.0,9600.0,67,2,0.0,892.0
27000.0,8064.0,67,2,0.0,649.0
8500.0,0.0,65,3,0.0,772.0
61000.0,8640.0,67,1,0.0,1025.0
40000.0,0.0,65,1,0.0,2438.0
400000.0,7200.0,67,1,0.0,1025.0
500.0,12000.0,66,2,0.0,891.0
1050.0,7296.0,65,3,0.0,733.0
266000.0,8400.0,65,2,0.0,1040.0
8820.0,12108.0,67,1,0.0,840.0
13000.0,12132.0,67,1,0.0,914.0
1000.0,7584.0,66,1,0.0,2361.0
20000.0,0.0,65,2,1.0,1419.0
0.0,10356.0,65,2,0.0,3891.0
0.0,6000.0,68,1,0.0,1686.0
0.0,5880.0,68,3,0.0,1858.0
10.0,9816.0,68,3,0.0,1673.0
26000.0,11256.0,67,3,0.0,1784.0
0.0,6000.0,67,1,0.0,695.0
406000.0,12000.0,68,3,0.0,3940.0
0.0,1668.0,67,2,0.0,2355.0
0.0,15216.0,68,1,1.0,1480.0
914000.0,1344.0,66,2,0.0,3940.0
917000.0,6480.0,66,1,0.0,2139.0
1000.0,12000.0,66,2,0.0,1992.0
0.0,0.0,67,2,0.0,2683.0
110000.0,9624.0,67,2,0.0,5791.0
5000.0,5976.0,69,3,0.0,853.0
106800.0,9084.0,65,2,0.0,4607.0
4107.0,0.0,65,2,0.0,5661.0
38332.0,0.0,66,3,0.0,5738.0
40000.0,14400.0,68,3,0.0,4316.0
135000.0,8880.0,67,3,0.0,5738.0
899000.0,11148.0,65,1,0.0,4044.0
0.0,7572.0,67,2,0.0,1329.0
16000.0,600.0,68,2,0.0,4141.0
1200.0,8112.0,68,2,0.0,3578.0
1500.0,11760.0,68,3,0.0,4001.0
100800.0,14820.0,69,1,0.0,3515.0
7800.0,9600.0,68,1,0.0,3180.0
281000.0,10596.0,67,1,0.0,3815.0
500.0,5472.0,66,3,0.0,2222.0
1200.0,6612.0,66,3,0.0,6093.0
7800.0,9960.0,68,3,0.0,4846.0
299500.0,10632.0,68,1,0.0,3735.0
7800.0,5724.0,67,3,0.0,4985.0
0.0,9084.0,67,3,0.0,2995.0
3300.0,7932.0,67,3,0.0,3234.0
104.0,6240.0,68,2,0.0,3441.0
595065.8,12000.0,67,2,0.0,4327.0
0.0,13680.0,66,2,0.0,2724.0
299500.0,9600.0,68,1,0.0,3184.0
48500.0,3720.0,69,1,0.0,2992.0
3800.0,9600.0,69,2,0.0,4511.0
109000.0,8400.0,68,1,0.0,3288.0
