age,qx_male,qx_female
65,0.018751,0.012005
66,0.020447,0.013118
67,0.022287,0.014348
68,0.024278,0.015705
69,0.026454,0.017209
70,0.028904,0.018938
71,0.031641,0.020871
72,0.034622,0.022929
73,0.037855,0.025096
74,0.041397,0.027451
75,0.045443,0.030201
76,0.049973,0.033375
77,0.054805,0.036834
78,0.059912,0.040577
79,0.065457,0.044735
80,0.071687,0.049527
81,0.078793,0.055078
82,0.086813,0.061373
83,0.095842,0.068476
84,0.105909,0.076467
85,0.117017,0.085425
86,0.129170,0.095418
87,0.142383,0.106505
88,0.156680,0.118730
89,0.172092,0.132121
90,0.188644,0.146696
91,0.206354,0.162464
92,0.225225,0.179422
93,0.245249,0.197556
94,0.266402,0.216842
95,0.287448,0.236379
96,0.308073,0.255898
97,0.327943,0.275103
98,0.346718,0.293679
99,0.364054,0.311300
100,0.382257,0.329978
101,0.401370,0.349776
102,0.421438,0.370763
103,0.442510,0.393008
104,0.464635,0.416589
105,0.487867,0.441584
106,0.512261,0.468079
107,0.537874,0.496164
108,0.564767,0.525934
109,0.593006,0.557490
110,0.622656,0.590939
